_id,Age,Driving_License,Region_Code,Previously_Insured,Annual_Premium,Policy_Sales_Channel,Vintage,Response
68b3ba1733a7772ba01f6fde,47,1,48.0,1,2630.0,22.0,115,0
68b3ba1633a7772ba01c7a0c,44,1,24.0,0,27633.0,124.0,219,0
68b3ba1633a7772ba01c635f,45,1,43.0,0,24508.0,26.0,180,1
68b3ba1633a7772ba01a8e76,61,1,41.0,0,71850.0,124.0,43,0
68b3ba1733a7772ba01d39f0,48,1,46.0,0,36531.0,124.0,87,0
68b3ba1733a7772ba01fad2e,42,1,28.0,0,2630.0,44.0,219,0
68b3ba1633a7772ba01a86f4,23,1,28.0,1,51296.0,152.0,285,0
68b3ba1633a7772ba01b3273,26,1,46.0,1,40178.0,152.0,192,0
68b3ba1733a7772ba01ecf90,32,1,0.0,1,2630.0,152.0,156,0
68b3ba1733a7772ba01f257f,32,1,41.0,0,26396.0,160.0,247,0
68b3ba1733a7772ba01d06ee,43,1,0.0,0,2630.0,26.0,21,0
68b3ba1733a7772ba01d89d0,64,1,33.0,0,30810.0,132.0,167,0
68b3ba1733a7772ba01e3123,22,1,37.0,0,31013.0,152.0,197,0
68b3ba1733a7772ba01d3c72,31,1,50.0,0,2630.0,163.0,107,0
68b3ba1733a7772ba01d7259,20,1,13.0,0,13313.0,160.0,166,0
68b3ba1733a7772ba01ec807,24,1,41.0,1,34174.0,152.0,140,0
68b3ba1633a7772ba01b5690,36,1,28.0,1,44520.0,122.0,239,0
68b3ba1733a7772ba01ccdb2,40,1,41.0,0,41197.0,124.0,114,0
68b3ba1733a7772ba01eef97,39,1,28.0,0,61577.0,122.0,146,0
68b3ba1633a7772ba01c4099,23,1,8.0,1,48663.0,152.0,114,0
68b3ba1733a7772ba01cf9df,20,1,47.0,1,24582.0,160.0,220,0
68b3ba1733a7772ba01d3adb,24,1,29.0,1,26313.0,152.0,17,0
68b3ba1633a7772ba01bf855,50,1,0.0,1,2630.0,151.0,117,0
68b3ba1633a7772ba01ae579,26,1,47.0,0,2630.0,154.0,18,0
68b3ba1733a7772ba01cf8e1,43,1,25.0,0,27341.0,26.0,189,1
68b3ba1633a7772ba01c3125,36,1,41.0,0,28291.0,154.0,38,0
68b3ba1633a7772ba01c20bc,44,1,41.0,1,24722.0,124.0,148,0
68b3ba1733a7772ba01f319c,24,1,41.0,0,47200.0,152.0,111,0
68b3ba1733a7772ba01d0c60,25,1,6.0,0,39398.0,152.0,40,0
68b3ba1733a7772ba01f6248,23,1,8.0,1,26636.0,152.0,222,0
